measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
3,YLDs (Years Lived with Disability),17,Sri Lanka,1,Male,7,10-14 years,567,Depressive disorders,169,All risk factors,1,Number,2017,211.58175366769305,465.835793789504,69.01523673893692
3,YLDs (Years Lived with Disability),17,Sri Lanka,2,Female,7,10-14 years,567,Depressive disorders,169,All risk factors,1,Number,2017,220.11126472243663,499.65936962678114,72.06168675524415
3,YLDs (Years Lived with Disability),17,Sri Lanka,1,Male,8,15-19 years,567,Depressive disorders,169,All risk factors,1,Number,2017,684.6103322135756,1367.6215806425982,249.65217318526078
3,YLDs (Years Lived with Disability),17,Sri Lanka,2,Female,8,15-19 years,567,Depressive disorders,169,All risk factors,1,Number,2017,769.5054390862202,1499.82867746029,265.48563624808224
3,YLDs (Years Lived with Disability),80,France,1,Male,7,10-14 years,567,Depressive disorders,169,All risk factors,1,Number,2017,1064.9311200648842,2266.691647950155,378.23601656172144
3,YLDs (Years Lived with Disability),80,France,2,Female,7,10-14 years,567,Depressive disorders,169,All risk factors,1,Number,2017,2061.8901307599676,4228.564010189921,807.760770943233
3,YLDs (Years Lived with Disability),80,France,1,Male,8,15-19 years,567,Depressive disorders,169,All risk factors,1,Number,2017,1843.5761533199927,3862.372883892394,608.5112383291158
3,YLDs (Years Lived with Disability),80,France,2,Female,8,15-19 years,567,Depressive disorders,169,All risk factors,1,Number,2017,4340.10047465439,8642.648980065494,1703.8746178242768
3,YLDs (Years Lived with Disability),114,Haiti,1,Male,7,10-14 years,567,Depressive disorders,169,All risk factors,1,Number,2017,122.6689290243928,264.4755589571092,37.588404848491905
3,YLDs (Years Lived with Disability),114,Haiti,2,Female,7,10-14 years,567,Depressive disorders,169,All risk factors,1,Number,2017,306.49716595533465,684.6527030798891,109.80412323876632
3,YLDs (Years Lived with Disability),114,Haiti,1,Male,8,15-19 years,567,Depressive disorders,169,All risk factors,1,Number,2017,289.50311584532653,609.2384177103705,89.45102278818254
3,YLDs (Years Lived with Disability),114,Haiti,2,Female,8,15-19 years,567,Depressive disorders,169,All risk factors,1,Number,2017,1037.3283595532039,2054.996574467631,361.8311823868748
3,YLDs (Years Lived with Disability),25,Micronesia (Federated States of),1,Male,7,10-14 years,567,Depressive disorders,169,All risk factors,1,Number,2017,0.9828552939721159,2.2875655327657,0.293943014010555
3,YLDs (Years Lived with Disability),25,Micronesia (Federated States of),2,Female,7,10-14 years,567,Depressive disorders,169,All risk factors,1,Number,2017,1.5253549809020308,3.4080272108554723,0.4730731547072906
3,YLDs (Years Lived with Disability),25,Micronesia (Federated States of),1,Male,8,15-19 years,567,Depressive disorders,169,All risk factors,1,Number,2017,3.3530092438689483,7.124271753562279,1.0378541261980767
3,YLDs (Years Lived with Disability),25,Micronesia (Federated States of),2,Female,8,15-19 years,567,Depressive disorders,169,All risk factors,1,Number,2017,5.720705829158712,11.48135843712159,2.0526538865920223
3,YLDs (Years Lived with Disability),74,Andorra,1,Male,7,10-14 years,567,Depressive disorders,169,All risk factors,1,Number,2017,0.8967023499055382,1.9452034447890223,0.2800047003157217
3,YLDs (Years Lived with Disability),74,Andorra,2,Female,7,10-14 years,567,Depressive disorders,169,All risk factors,1,Number,2017,1.5031485234815978,3.0732379628415107,0.5533329199065715
3,YLDs (Years Lived with Disability),74,Andorra,1,Male,8,15-19 years,567,Depressive disorders,169,All risk factors,1,Number,2017,1.644801691942523,3.6365180631809144,0.48381824511438143
3,YLDs (Years Lived with Disability),74,Andorra,2,Female,8,15-19 years,567,Depressive disorders,169,All risk factors,1,Number,2017,3.5068917269374817,6.897838305529642,1.3244633928256473
3,YLDs (Years Lived with Disability),122,Ecuador,1,Male,7,10-14 years,567,Depressive disorders,169,All risk factors,1,Number,2017,200.8328908061651,436.8570622072369,66.70284530019379
3,YLDs (Years Lived with Disability),122,Ecuador,2,Female,7,10-14 years,567,Depressive disorders,169,All risk factors,1,Number,2017,544.7918896050807,1121.0517961142862,213.246990289583
3,YLDs (Years Lived with Disability),122,Ecuador,1,Male,8,15-19 years,567,Depressive disorders,169,All risk factors,1,Number,2017,524.9360594080375,1122.7109292006087,171.25432708621153
3,YLDs (Years Lived with Disability),122,Ecuador,2,Female,8,15-19 years,567,Depressive disorders,169,All risk factors,1,Number,2017,1605.1817718465136,2986.092252001189,703.8750044202889
3,YLDs (Years Lived with Disability),135,Brazil,1,Male,7,10-14 years,567,Depressive disorders,169,All risk factors,1,Number,2017,3163.433756750872,6618.764756408791,1095.427381117651
3,YLDs (Years Lived with Disability),135,Brazil,2,Female,7,10-14 years,567,Depressive disorders,169,All risk factors,1,Number,2017,8102.747868639611,15942.563829303237,3184.1989550156723
