measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Romania,Male,10-14 years,Depressive disorders,Number,2000,5347.286767404871,8493.40100703184,3156.3284043437206
Incidence,Romania,Female,10-14 years,Depressive disorders,Number,2000,9968.748428745532,15833.954299298175,5387.266098912794
Incidence,Romania,Male,15-19 years,Depressive disorders,Number,2000,12922.273775572523,17431.028477709515,9469.017234888413
Incidence,Romania,Female,15-19 years,Depressive disorders,Number,2000,23957.869606628057,33988.993823923556,16671.903998840822
Incidence,Romania,Male,20-24 years,Depressive disorders,Number,2000,18478.835901825732,24999.499908912316,13386.685226596248
Incidence,Romania,Female,20-24 years,Depressive disorders,Number,2000,34340.46566660218,47832.36208295954,23687.44849996056
Incidence,Serbia,Male,10-14 years,Depressive disorders,Number,2000,1962.8277453039395,3094.8340731017615,1110.9390651612912
Incidence,Serbia,Female,10-14 years,Depressive disorders,Number,2000,3828.000941052919,6065.096641579577,2061.124292869856
Incidence,Serbia,Male,15-19 years,Depressive disorders,Number,2000,6592.81554274761,9072.434086209003,4816.3378796050465
Incidence,Serbia,Female,15-19 years,Depressive disorders,Number,2000,11450.36061228836,16024.171902652162,7813.141193958221
Incidence,Serbia,Male,20-24 years,Depressive disorders,Number,2000,8909.655460679516,12128.342652013394,6537.1404751610735
Incidence,Serbia,Female,20-24 years,Depressive disorders,Number,2000,16281.04073225046,21835.5884027187,11346.007032767011
Incidence,Solomon Islands,Male,10-14 years,Depressive disorders,Number,2000,213.2762285952388,333.65432693739774,117.49753191232531
Incidence,Solomon Islands,Female,10-14 years,Depressive disorders,Number,2000,344.00250100545657,552.4929394519867,183.46708745541258
Incidence,Solomon Islands,Male,15-19 years,Depressive disorders,Number,2000,711.649996127537,1029.1314592730807,494.0341193262925
Incidence,Solomon Islands,Female,15-19 years,Depressive disorders,Number,2000,907.8849470987259,1290.8425051310521,641.8718430605735
Incidence,Solomon Islands,Male,20-24 years,Depressive disorders,Number,2000,902.9793542049679,1261.2522157709102,631.8986757529979
Incidence,Solomon Islands,Female,20-24 years,Depressive disorders,Number,2000,1076.225812009358,1501.2839375181452,735.1344375688884
Incidence,Turkmenistan,Male,10-14 years,Depressive disorders,Number,2000,2558.0571867207846,4061.9717813087314,1492.9642388194238
Incidence,Turkmenistan,Female,10-14 years,Depressive disorders,Number,2000,3282.072876735502,5385.086322019677,1804.5124054020398
Incidence,Turkmenistan,Male,15-19 years,Depressive disorders,Number,2000,6030.3065876399405,8326.443062244329,4428.249658568465
Incidence,Turkmenistan,Female,15-19 years,Depressive disorders,Number,2000,7847.953411846168,11006.22544369886,5543.975499394434
Incidence,Turkmenistan,Male,20-24 years,Depressive disorders,Number,2000,6482.285053535503,8864.615942786666,4570.734150871988
Incidence,Turkmenistan,Female,20-24 years,Depressive disorders,Number,2000,8820.427863688394,12260.539417686261,6053.363819702111
Incidence,Uruguay,Male,10-14 years,Depressive disorders,Number,2000,1209.958736705117,1939.2427720040907,661.451212924291
Incidence,Uruguay,Female,10-14 years,Depressive disorders,Number,2000,2962.7079466128203,4626.786795324495,1560.4858709877292
Incidence,Uruguay,Male,15-19 years,Depressive disorders,Number,2000,3144.0748162577142,4219.380879889929,2293.6053571397665
Incidence,Uruguay,Female,15-19 years,Depressive disorders,Number,2000,5610.914388398173,7647.21563545582,4029.23687640917
Incidence,Uruguay,Male,20-24 years,Depressive disorders,Number,2000,3853.7288678398486,5114.85741212232,2754.048267914148
Incidence,Uruguay,Female,20-24 years,Depressive disorders,Number,2000,5916.338940645746,8284.580689819268,4150.113844275088
Incidence,Sri Lanka,Male,10-14 years,Depressive disorders,Number,2000,8212.83080325611,13073.15254795351,4426.767988284824
Incidence,Sri Lanka,Female,10-14 years,Depressive disorders,Number,2000,14380.511585199269,23136.884617394284,7952.70102546864
Incidence,Sri Lanka,Male,15-19 years,Depressive disorders,Number,2000,30255.700558226064,42217.80830072196,22048.6931286358
Incidence,Sri Lanka,Female,15-19 years,Depressive disorders,Number,2000,39289.163457761664,52984.32232916258,28671.18309714649
Incidence,Sri Lanka,Male,20-24 years,Depressive disorders,Number,2000,38277.564827591734,53230.786979889526,27759.926362000377
Incidence,Sri Lanka,Female,20-24 years,Depressive disorders,Number,2000,43614.02927927698,59852.9814104045,31396.48385281782
Incidence,Uzbekistan,Male,10-14 years,Depressive disorders,Number,2000,15145.504919284358,23570.452785179354,8743.198781500956
Incidence,Uzbekistan,Female,10-14 years,Depressive disorders,Number,2000,20138.881802049124,32925.10793312313,11039.251737581746
Incidence,Uzbekistan,Male,15-19 years,Depressive disorders,Number,2000,33234.77238422248,45859.12176455064,23940.041591200486
Incidence,Uzbekistan,Female,15-19 years,Depressive disorders,Number,2000,49984.8154330842,69641.8123718917,35408.65450184973
Incidence,Uzbekistan,Male,20-24 years,Depressive disorders,Number,2000,35252.52287719135,48847.70686471849,24209.062257808506
Incidence,Uzbekistan,Female,20-24 years,Depressive disorders,Number,2000,56442.89526781154,78254.27199746364,38592.91679806811
Incidence,Thailand,Male,10-14 years,Depressive disorders,Number,2000,24967.28370617813,40893.219210775955,13035.742307141281
Incidence,Thailand,Female,10-14 years,Depressive disorders,Number,2000,40557.958467657474,65857.99588392142,21982.797453207953
Incidence,Thailand,Male,15-19 years,Depressive disorders,Number,2000,71202.17511203913,99492.1985957112,51297.853842187295
Incidence,Thailand,Female,15-19 years,Depressive disorders,Number,2000,89971.15454342734,124720.89011033686,64601.375110062734
Incidence,Thailand,Male,20-24 years,Depressive disorders,Number,2000,88553.71025567611,123098.20410718911,61504.62629130427
Incidence,Thailand,Female,20-24 years,Depressive disorders,Number,2000,100503.5481673935,138362.39357455177,70748.34125262916
Incidence,Philippines,Male,10-14 years,Depressive disorders,Number,2000,35023.949196967405,53984.955646823764,20626.39840854116
Incidence,Philippines,Female,10-14 years,Depressive disorders,Number,2000,53648.39611194898,81014.08693698836,32768.96892407889
Incidence,Philippines,Male,15-19 years,Depressive disorders,Number,2000,83821.2353618537,113274.27867494173,59165.40908041089
Incidence,Philippines,Female,15-19 years,Depressive disorders,Number,2000,110696.38467864547,147505.36290462175,79533.99820424289
Incidence,Philippines,Male,20-24 years,Depressive disorders,Number,2000,94650.0981193715,130055.66772125283,64734.14171346426
Incidence,Philippines,Female,20-24 years,Depressive disorders,Number,2000,117646.49863684831,161562.5757870356,80697.50283707994
Incidence,China,Male,10-14 years,Depressive disorders,Number,2000,395245.2890860343,583099.4941163593,243300.599557112
Incidence,China,Female,10-14 years,Depressive disorders,Number,2000,698972.859644699,1009290.5256728836,441612.4900969297
Incidence,China,Male,15-19 years,Depressive disorders,Number,2000,900515.2257151693,1188465.8142399606,688060.9802666577
Incidence,China,Female,15-19 years,Depressive disorders,Number,2000,1499287.0999898333,1961180.8258162646,1149436.62770579
Incidence,China,Male,20-24 years,Depressive disorders,Number,2000,1105407.012168493,1413559.9622863168,834694.2991765228
Incidence,China,Female,20-24 years,Depressive disorders,Number,2000,1766149.358773627,2272427.881260133,1330309.4187221879
Incidence,Slovakia,Male,10-14 years,Depressive disorders,Number,2000,1058.7441396310844,1615.427728001592,610.9526946758746
Incidence,Slovakia,Female,10-14 years,Depressive disorders,Number,2000,2321.2762161546348,3738.3398258426982,1256.8432276484414
Incidence,Slovakia,Male,15-19 years,Depressive disorders,Number,2000,3383.4623856707753,4604.582394294026,2486.191094169028
Incidence,Slovakia,Female,15-19 years,Depressive disorders,Number,2000,6323.396545179041,8738.233471327922,4484.348776064309
Incidence,Slovakia,Male,20-24 years,Depressive disorders,Number,2000,4796.530602315196,6520.350211232656,3497.813742390774
Incidence,Slovakia,Female,20-24 years,Depressive disorders,Number,2000,8566.333924863871,11597.77976003229,6009.814126773291
Incidence,Brazil,Male,10-14 years,Depressive disorders,Number,2000,117856.6666953789,181710.1330216271,69112.48991986482
Incidence,Brazil,Female,10-14 years,Depressive disorders,Number,2000,316570.03876467503,465110.48257390736,197570.69684174092
Incidence,Brazil,Male,15-19 years,Depressive disorders,Number,2000,349767.12575740134,469388.68324570137,261916.12684129213
Incidence,Brazil,Female,15-19 years,Depressive disorders,Number,2000,730815.2695032323,962854.7739504394,556004.0741635871
Incidence,Brazil,Male,20-24 years,Depressive disorders,Number,2000,418637.4075616292,550352.6478248909,310832.7447522964
Incidence,Brazil,Female,20-24 years,Depressive disorders,Number,2000,782564.4828836715,1028509.7151726875,574380.8372029706
Incidence,Dominican Republic,Male,10-14 years,Depressive disorders,Number,2000,5072.725659107352,8070.1525368225075,2692.1861401526326
Incidence,Dominican Republic,Female,10-14 years,Depressive disorders,Number,2000,13487.309827215582,21862.443816450734,7286.690028342016
Incidence,Dominican Republic,Male,15-19 years,Depressive disorders,Number,2000,11144.25339884453,15200.938057571304,7900.835135869777
Incidence,Dominican Republic,Female,15-19 years,Depressive disorders,Number,2000,26161.882156754386,36646.84680509091,18404.103088326956
Incidence,Dominican Republic,Male,20-24 years,Depressive disorders,Number,2000,12247.403290078517,16293.459050898933,8839.89050501788
Incidence,Dominican Republic,Female,20-24 years,Depressive disorders,Number,2000,27650.526608249143,38149.979370400615,18979.292395329405
Incidence,Georgia,Male,10-14 years,Depressive disorders,Number,2000,1834.884916350578,2934.7268213630136,1036.6117954962754
Incidence,Georgia,Female,10-14 years,Depressive disorders,Number,2000,2446.916449555561,3992.7600267681873,1293.6578617329942
