measure,location,sex,age,cause,rei,metric,year,val,upper,lower
YLDs (Years Lived with Disability),Sri Lanka,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,211.58175366769305,465.835793789504,69.01523673893692
YLDs (Years Lived with Disability),Sri Lanka,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,220.11126472243663,499.65936962678114,72.06168675524415
YLDs (Years Lived with Disability),Sri Lanka,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,684.6103322135756,1367.6215806425982,249.65217318526078
YLDs (Years Lived with Disability),Sri Lanka,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,769.5054390862202,1499.82867746029,265.48563624808224
YLDs (Years Lived with Disability),Sri Lanka,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,841.8972525110693,1697.6696889767659,286.96359691365785
YLDs (Years Lived with Disability),Sri Lanka,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,1052.0130174944604,2171.5409322768237,296.33709401250536
YLDs (Years Lived with Disability),Timor-Leste,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,17.330953267040318,39.9166448775703,5.502505902440585
YLDs (Years Lived with Disability),Timor-Leste,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,21.137378881062123,47.0496893417361,6.768110592295801
YLDs (Years Lived with Disability),Timor-Leste,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,46.72338612507169,100.54861363480904,16.157418309796924
YLDs (Years Lived with Disability),Timor-Leste,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,71.92068320707611,139.60632919583338,25.14467012765399
YLDs (Years Lived with Disability),Timor-Leste,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,40.713820000640524,85.92067974308152,12.410790039586697
YLDs (Years Lived with Disability),Timor-Leste,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,79.13422401034468,161.2473611614059,22.31319351073212
YLDs (Years Lived with Disability),Belgium,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,185.32147832250263,374.8836962023705,68.67648884229641
YLDs (Years Lived with Disability),Belgium,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,287.3066290598291,587.9178729664166,116.41578297423675
YLDs (Years Lived with Disability),Belgium,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,342.25068710960187,702.3952367637462,112.72453517781148
YLDs (Years Lived with Disability),Belgium,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,609.8213663592617,1157.9558742830698,240.57471060559925
YLDs (Years Lived with Disability),Belgium,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,372.0681619371018,775.2428778978935,96.23525897823704
YLDs (Years Lived with Disability),Belgium,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,774.8543163824802,1474.2948326208161,283.66090798380617
YLDs (Years Lived with Disability),Argentina,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,426.92688513346855,895.1655241906801,139.3423265120333
YLDs (Years Lived with Disability),Argentina,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,1000.0106812767169,2106.1136181792576,385.19133906556164
YLDs (Years Lived with Disability),Argentina,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,1183.1260678136503,2498.1997628840268,378.51115050017097
YLDs (Years Lived with Disability),Argentina,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,2849.772052996791,5291.514905982813,1215.687558512911
YLDs (Years Lived with Disability),Argentina,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,1298.5798605372477,2741.8348504447017,362.7083962197753
YLDs (Years Lived with Disability),Argentina,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,3216.063309642411,5971.709464947149,1282.36691756531
YLDs (Years Lived with Disability),Kiribati,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,0.9694549864941109,2.1569763492312455,0.30855487178957797
YLDs (Years Lived with Disability),Kiribati,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,1.7034277801690354,3.708028847150881,0.6650668437572557
YLDs (Years Lived with Disability),Kiribati,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,3.216263883370975,6.77545043524994,1.0249428346068956
YLDs (Years Lived with Disability),Kiribati,Female,15-19 years,Depressive disorders,All risk factors,Number,2017,6.62893098372605,12.319919475447168,2.5407097702546038
YLDs (Years Lived with Disability),Kiribati,Male,20-24 years,Depressive disorders,All risk factors,Number,2017,4.346405018358881,9.30579952741909,1.2197735819765116
YLDs (Years Lived with Disability),Kiribati,Female,20-24 years,Depressive disorders,All risk factors,Number,2017,10.559987808023598,20.98644337981763,3.4275499062029824
YLDs (Years Lived with Disability),Ireland,Male,10-14 years,Depressive disorders,All risk factors,Number,2017,78.52928033380212,160.12016547480235,29.328628926013877
YLDs (Years Lived with Disability),Ireland,Female,10-14 years,Depressive disorders,All risk factors,Number,2017,115.91437118907417,233.32082719115422,46.634935384764304
YLDs (Years Lived with Disability),Ireland,Male,15-19 years,Depressive disorders,All risk factors,Number,2017,186.95792931085091,383.6239931188386,69.1386914470283
