measure,location,sex,age,cause,rei,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Maldives,Male,10-14 years,Depressive disorders,All risk factors,Number,2015,4.770201246405257,10.54733469714206,1.6089099982135238
DALYs (Disability-Adjusted Life Years),Maldives,Female,10-14 years,Depressive disorders,All risk factors,Number,2015,6.438600601893478,13.56598209360749,2.2107667267618836
DALYs (Disability-Adjusted Life Years),Maldives,Male,20-24 years,Depressive disorders,All risk factors,Number,2015,29.19597608733723,57.687928127663405,9.07049010977464
DALYs (Disability-Adjusted Life Years),Maldives,Female,20-24 years,Depressive disorders,All risk factors,Number,2015,29.639414107827378,58.69058781784078,8.88544144984623
DALYs (Disability-Adjusted Life Years),Maldives,Male,10-19 years,Depressive disorders,All risk factors,Number,2015,21.160867919363522,42.37308594006357,7.757254672487994
DALYs (Disability-Adjusted Life Years),Maldives,Female,10-19 years,Depressive disorders,All risk factors,Number,2015,26.45504670846034,51.36546461863113,10.5864292966793
DALYs (Disability-Adjusted Life Years),Armenia,Male,10-14 years,Depressive disorders,All risk factors,Number,2015,7.890035632267705,18.61935951159543,2.4612785676417026
DALYs (Disability-Adjusted Life Years),Armenia,Female,10-14 years,Depressive disorders,All risk factors,Number,2015,5.3945556416314036,11.76014347303322,1.783227017590585
DALYs (Disability-Adjusted Life Years),Armenia,Male,20-24 years,Depressive disorders,All risk factors,Number,2015,30.494749106934073,68.21952410551808,7.522094627172758
DALYs (Disability-Adjusted Life Years),Armenia,Female,20-24 years,Depressive disorders,All risk factors,Number,2015,62.52611554848232,141.5422272182912,15.881166125886685
DALYs (Disability-Adjusted Life Years),Armenia,Male,10-19 years,Depressive disorders,All risk factors,Number,2015,29.73502269948366,67.63252224856728,8.902932277464737
DALYs (Disability-Adjusted Life Years),Armenia,Female,10-19 years,Depressive disorders,All risk factors,Number,2015,29.429856516858425,57.547062722902304,10.788258735595257
DALYs (Disability-Adjusted Life Years),Andorra,Male,10-14 years,Depressive disorders,All risk factors,Number,2015,0.8753125005957443,1.9272298612387977,0.26906008413451665
DALYs (Disability-Adjusted Life Years),Andorra,Female,10-14 years,Depressive disorders,All risk factors,Number,2015,1.5333320886372317,3.1763907571156307,0.5608368434961565
DALYs (Disability-Adjusted Life Years),Andorra,Male,20-24 years,Depressive disorders,All risk factors,Number,2015,1.5458293473425502,3.2446873492455555,0.4123887252339789
DALYs (Disability-Adjusted Life Years),Andorra,Female,20-24 years,Depressive disorders,All risk factors,Number,2015,3.5067745814884477,6.9424063244225005,1.195303524690177
DALYs (Disability-Adjusted Life Years),Estonia,Male,10-14 years,Depressive disorders,All risk factors,Number,2015,10.024517455846079,20.80276185100979,3.4502407238269526
