measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,China,Male,10-14 years,Depressive disorders,Number,2000,395245.2890860343,583099.4941163593,243300.599557112
Incidence,China,Female,10-14 years,Depressive disorders,Number,2000,698972.859644699,1009290.5256728836,441612.4900969297
Incidence,China,Male,10-14 years,Depressive disorders,Percent,2000,0.001547714255533866,0.002425074800487846,0.0008883043841264235
Incidence,China,Female,10-14 years,Depressive disorders,Percent,2000,0.002992112640362357,0.004514968981599613,0.001807524746876753
Incidence,China,Male,15-19 years,Depressive disorders,Number,2000,900515.2257151693,1188465.8142399606,688060.9802666577
Incidence,China,Female,15-19 years,Depressive disorders,Number,2000,1499287.0999898333,1961180.8258162646,1149436.62770579
Incidence,China,Male,15-19 years,Depressive disorders,Percent,2000,0.0042768080253470725,0.005984133998372751,0.002968733096737703
Incidence,China,Female,15-19 years,Depressive disorders,Percent,2000,0.007480746851527874,0.010340321531678437,0.005345361208436218
Incidence,China,Male,20-24 years,Depressive disorders,Number,2000,1105407.012168493,1413559.9622863168,834694.2991765228
Incidence,China,Female,20-24 years,Depressive disorders,Number,2000,1766149.358773627,2272427.881260133,1330309.4187221879
Incidence,China,Male,20-24 years,Depressive disorders,Percent,2000,0.0055539963006299,0.0074179024762433005,0.0038967992726194898
Incidence,China,Female,20-24 years,Depressive disorders,Percent,2000,0.008772784297035176,0.011770829569007797,0.006218748305038918
Incidence,Democratic People's Republic of Korea,Male,10-14 years,Depressive disorders,Number,2000,5255.121286286356,8421.873153711455,2979.9903478776405
Incidence,Democratic People's Republic of Korea,Female,10-14 years,Depressive disorders,Number,2000,11987.638989526702,19704.430213441658,6583.643244328714
Incidence,Democratic People's Republic of Korea,Male,10-14 years,Depressive disorders,Percent,2000,0.0013633276174485913,0.002223219501008333,0.0007042975952819543
Incidence,Democratic People's Republic of Korea,Female,10-14 years,Depressive disorders,Percent,2000,0.0033082410663308483,0.00550382759520437,0.0016658700376184134
Incidence,Democratic People's Republic of Korea,Male,15-19 years,Depressive disorders,Number,2000,11119.426137405231,15869.478887755651,7743.1638389168265
Incidence,Democratic People's Republic of Korea,Female,15-19 years,Depressive disorders,Number,2000,25315.55048031992,34895.85564429521,18105.808642641776
Incidence,Democratic People's Republic of Korea,Male,15-19 years,Depressive disorders,Percent,2000,0.003225107334393662,0.004768328879507253,0.0021515190550265772
Incidence,Democratic People's Republic of Korea,Female,15-19 years,Depressive disorders,Percent,2000,0.0072376887106727775,0.01042417735479744,0.004826694531388241
Incidence,Democratic People's Republic of Korea,Male,20-24 years,Depressive disorders,Number,2000,12696.27457973416,17664.50572449766,8815.294985870423
Incidence,Democratic People's Republic of Korea,Female,20-24 years,Depressive disorders,Number,2000,29232.828720007405,40196.770654752116,20560.97405202212
Incidence,Democratic People's Republic of Korea,Male,20-24 years,Depressive disorders,Percent,2000,0.003994260108839697,0.005725517992669659,0.002667641069523788
Incidence,Democratic People's Republic of Korea,Female,20-24 years,Depressive disorders,Percent,2000,0.008020302007454483,0.011486902568873459,0.005335879321072788
Incidence,China,Male,10-14 years,Depressive disorders,Number,2006,337534.2887277784,501748.1105963397,209842.3542051223
Incidence,China,Female,10-14 years,Depressive disorders,Number,2006,571599.9750290322,829770.7839867526,366211.83390681783
Incidence,China,Male,10-14 years,Depressive disorders,Percent,2006,0.0018103359795270686,0.0028005206957519777,0.001052082382951927
Incidence,China,Female,10-14 years,Depressive disorders,Percent,2006,0.0034497624930774507,0.005205354760494167,0.002096999475476023
Incidence,China,Male,15-19 years,Depressive disorders,Number,2006,1087036.151904617,1435370.8356303019,822935.9629745904
Incidence,China,Female,15-19 years,Depressive disorders,Number,2006,1756754.6660499459,2320795.9062812114,1338586.1793696894
Incidence,China,Male,15-19 years,Depressive disorders,Percent,2006,0.0042281055201059,0.0058599731675045,0.0029407173248810013
Incidence,China,Female,15-19 years,Depressive disorders,Percent,2006,0.007115789681007813,0.009793315674522633,0.00505566657461419
Incidence,China,Male,20-24 years,Depressive disorders,Number,2006,1092478.3118040804,1405451.5460019752,817334.1612570735
Incidence,China,Female,20-24 years,Depressive disorders,Number,2006,1669169.4056943206,2158458.200598896,1248136.9255598525
Incidence,China,Male,20-24 years,Depressive disorders,Percent,2006,0.004928568275077518,0.00660855368250743,0.003441624499269528
Incidence,China,Female,20-24 years,Depressive disorders,Percent,2006,0.007400584563540337,0.00993281674110736,0.005201510308450163
Incidence,United Republic of Tanzania,Male,10-14 years,Depressive disorders,Number,2006,30499.45061460652,47861.16433575241,17208.048505123486
Incidence,United Republic of Tanzania,Female,10-14 years,Depressive disorders,Number,2006,48223.30498519173,75082.16385209316,26427.99405192769
